3D holography,"Realität: Das Hologramm der Träume.","Karl Heinz Karius"
Discipline,"Wer nicht gehorchen will, ist bös zu lehren.","Sprichwort"
DNA,"DNA: Wir sind alle aus demselben Erbholz geschnitzt.","Daniel Mühlemann"
DNA fingerprinting,"Jeder Gast hinterlässt seinen einmaligen Fingerabdruck.","Irmgard Nägele"
Dog,"Der Hund, der den Hasen aufspürt, ist so gut, als der ihn fängt.","Deutsches Sprichwort"
Dog,"Edelmann und Hund ist der beste Bund.","Deutsches Sprichwort"
Dog,"Es sind nicht alle Diebe, die der Hund anbellt.","Sprichwort"
Dolphin,"Eine Frau ohne Mann ist wie ein Fisch ohne Fahrrad.","unbekannt"
Donation,"Der eigentliche Sinn des reichtums ist, freigiebig davon zu spenden.","Blaise Pascal"
Dough,"So weiß, wo die Katze den Teig langt.","Deutsches Sprichwort"
Dough,"Wer sein Brot selbst bäckt, läßt sich keinen Teig stehlen.","Sprichwort"
Dragon,"Der Drache lehrt: Wer hoch steigen will, muß es gegen den Wind tun.","Chinesisches Sprichwort"
Dragon,"Der Drache soll nicht in die Höhle steigen.","Sprichwort"
Dragon,"In gärend Drachengift hast du \n Die Milch der frommen Denkart mir verwandelt.","von Friedrich von Schiller"
Dragon,"Wenn Eine Schlange die andre nicht fräße, würde kein Drache draus.",""
Dragon,"Wer des Drachens Zähnen entgangen, wird oft noch vom Schwanz gefangen.","Sprichwort"
Drow,"Wahrlich, keiner ist weise, der nicht das Dunkel kennt.","Hermann Hesse"
Druid,"Lieber am Busen der Natur, als am Arsch der Welt.","unbekannt"
Duct tape,"""Was ist das?"" - ""Isolierband. Ich brauche es, um etwas abzukleben.""","American Psycho"
Duergar,"Grausamkeit empört, Dummheit entmutigt.","Albert Camus"
Dust,"Ohne den Staub, worin er aufleuchtet, wäre der Sonnenstrahl nicht sichtbar.","Andre Gide"
Dust,"Wenn ein Alter tanzt, so macht er großen Staub.","Deutsches Sprichwort"
Dust,"Wer sich zum Besen macht, muß über Staub nicht klagen.","Sprichwort"
DVD,"Wenn Ihnen die DVD nichts nützt, ist die DVD gratis.","unbekannt"
Dwarf,"Ein Zwerg wird nicht größer, als wenn er sich auf einen Berg stellt.","Seneca"
Earth,"Der Optimist erklärt, daß wir in der besten aller möglichen Welten leben, und der Pessimist fürchtet, daß dies wahr ist.","James Branch Cabell"
Earth,"Die Erde bedeckt die Fehler der Ärzte.","Italienisches Sprichwort"
Earth,"Die Erde ist ein gebildeter Stern mit sehr viel Wasserspülung.","Erich Kastner"
Earth,"Ein aufrichtiger Gedanke kann Himmel und Erde bewegen.","Chinesisches Sprichwort"
Earth,"Erde bist du, von der Erde bist du, Erde wirst du.","unbekannt"
Egg,"Die Henne ist das klügste Geschöpf im Tierreich. Sie gackert erst, nachdem das Ei gelegt ist.","Abraham Lincoln"
Egg,"Ein Ei ohne Salz schmeckt weder wohl nocht übel.","Sprichwort"
Egg,"Ein geschenktes Ei ist besser als eine gekaufte Henne.","Deutsches Sprichwort"
Egg,"Enten legen ihre Eier in Stille. Hühner gackern dabei wie verrückt. Was ist die Folge? Alle Welt ißt Hühnereier.","Henry Ford"
Egg,"Ist die Henne mein, so gehören mir auch die Eier.","Deutsches Sprichwort"
Egyptian priest,"Im alten Ägypten waren die Priester nicht nur die Hüter der heiligen Mysterien, sondern auch weltliche Verwalter. Die ägyptische Priesterschaft spielte in der Bildung und letztendlich im Aufschwung des Staates eine wichtige Rolle.",""
Electricity,"Ein Lächeln kostet weniger als Elektrizität und erhellt mehr.","aus Spanien"
Electricity,"Schlagersänger sind junge Männer, die bei Stromausfall keine Sänger mehr sind.","Danny Kaye"
Elf,"Alle Märchen sind nur Träume von jener heimatlichen Welt, die überall und nirgends ist.","Novalis"
Elf,"Eine Welt ohne Wunder wäre ein einziges Wunder.",""
Elf,"Hier liegt Dobby, ein freier Elf.","Joanne K. Rowling"
Energy,"Der Eigensinn ist die Energie der Dummen.","J.-P. Sartre"
Energy,"Information ist Energie. Bei jeder Weitergabe verliert sie etwas davon.","Wolfgang Herbs"
Energy,"Liebe: das Licht des Lebens, in der Ehe kommt die Stromrechnung.","Heinrich Schliemann"
Envy,"Der Neid ist die aufrichtigste Form der Anerkennung.","Wilhelm Busch"
Envy,"Je größer Glück, je größer Neid.","Sprichwort"
Envy,"Man sollte lieber Neid als Mitleid erregen.","Jacques Prévert"
Envy,"Neid: der Ärger über den Mangel an Gelegenheit zur Schadenfreude.",""
Envy,"Stilles Glück verfolgt kein Neid.","Sprichwort"
Experience,"Ein neuer Besen kehrt gut, aber der alte kennt alle Ecken.","Deutsches Sprichwort"
Experience,"Erfahrung bring Kunst.","Sprichwort"
Experience,"Erfahrung ist eine teuere Schule, aber Narren gahen in keine andere.","Deutsches Sprichwort"
Fabric,"Die Facon ist theuerer als der Stoff.","unbekannt"
Fabric,"Jeder Stoff ist nur das wert, was wir aus ihm machen.","L. M. van der Rohe"
Faith,"Drei Dinge zum Scherze nicht taugen: Gerücht, Glaube und Augen.","Deutsches Sprichwort"
Faith,"Glaube ist nicht nur selige Gewissheit, sondern auch Übung und Überwindung.","Romano Guardini"
Faith,"Schlecht Glück, schlechter Glaube.","unbekannt"
Fast food,"Ich war in diesem Fast Food-Restaurant und habe Händchen gehalten mit diesem verzauberten Mann, bevor er den Laden in Brand gesteckt hat.","2 Tage Paris (Film)"
Fasting,"Am Fasten stirbt niemand.","Deutsches Sprichwort"
Fasting,"Auf Fasten kommt Ostern.","Sprichwort"
Fasting,"Eine Gans, die Fasten erlebt hat, taugt nichts mehr.","Bauernweisheit"
Fax machine,"Wenn Sie ein Fax hinterlassen wollen, kaufen Sie mir ein Faxgerät.","Die Braut die sich nicht traut"
Feather,"An den Federn erkennt man den Vogel.","Sprichwort"
Feather,"Der Feder Kunst bringt Geld und Gunst.","Deutsches Sprichwort"
Feather,"Die Feder ernährt, die Feder zerstört.","Sprichwort"
Fern,"Bevor du Simon und Judas schaust, pflanze Bäume, schneide Kraut.","Bauernweisheit"
Fire,"Bedecktes Feuer hitzt am meisten.","Deutsches Sprichwort"
Fire,"Das Feuer ist ein guter Diener, aber ein schlechter Meister.","Sprichwort"
Fire,"Leute, die sich die Finger verbrennen, verstehen nichts vom Spiel mit dem Feuer.","Oscar Wilde"
Fire,"Mancher Mensch hat ein großes Feuer in seiner Seele, und niemand kommt, um sich daran zu wärmen.","Vincent Willem van Gogh"
Fire,"Revolution: das Feuer, an dem die einen verbrennen und die anderen ihre Suppe kochen.","John Carrick"
Fire_lost,"Tradition ist Bewahrung des Feuers\nund nicht Anbetung der Asche.","Gustav Mahler"
Firearm,"Der Alten Schatten gilt mehr als der Jungen Gewehr.","Deutsches Sprichwort"
Firearm,"Eine Frau, ein Gewehr und einen Gaul darf man nicht ausleihen.","Napoleon"
Firearm,"Wenn die Waffen sprechen, schweigen die Gesetze.","Cicero"
Firearm,"Wer ein Schussziel entdeckt, wird sich demnächst auch eine Waffe verfertigen.",""
Fireball,"Alte Häuser und jünge Mädchen brennen leicht.","unbekannt"
Firecracker,"Das Publikum beklatscht ein Feuerwerk, aber keinen Sonnenaufgang.","Christian Friedrich Hebbel"
First computer,"Der Computer ist die logische Weiterentwicklung des Menschen: Intelligenz ohne Moral.","John James Osborne"
Fish,"Der Fisch gehört ins Wasser, der Mönch ins Kloster.","Lateinisches Sprichwort"
Fish,"Der Fisch gewohnt, wo er Wasser findet.","Sprichwort"
Fish,"Der Fisch ist gern im Wasser, der Vogel in der Luft, das brave Weib daheim.","Deutsches Sprichwort"
Fish,"Der hungrige Fisch sieht nur den Köder, nicht den gefährlichen Angelhaken.","Hans-Armin Weirich"
Fish,"Sardinen wissen, dass Gleichmachen mit Kopfabschneiden beginnt.","Jeannine Luczak"
Fish,"Wer ausschließlich in der Vergangenheit fischt, dem kann nur eine trübe Zukunft ins Netz gehen.","Reiner Klüting"
Fish_lost,"Das interessanteste Geschöpf der Zoologie ist der Fisch.\nEr wächst noch, während er längst verspeist ist.\nWenigstens in den Augen des Anglers","Ernest Hemingway"
Fishing rod,"Angeln ist die einzige Philosophie,\nvon der man satt wird.","Peter Bamm"
Flash memory,"Ursprünglich wollte ich ein Gerät, das ungefähr 100 $ kostet ... Hätten wir nicht den NAND-Flash-Speicher und andere teure Teile verwendet, hätten wir vielleicht Erfolg gehabt.","Shigeru Miyamoto"
Flintstone,"Eine mächtige Flamme\nentsteht aus einem winzigen Funken.","Dante Alighieri"
Floppy disk,"Letzte Worte des Computer-Freaks: ""Auf der Diskette sind bestimmt keine wichtigen Dateien.""","unbekannt"
Flour,"Ehe man den Braten macht, muß man Mehl dranthun.","Deutsches Sprichwort"
Flour,"Es gibt kein Mehl in den Brei.","Deutsches Sprichwort"
Flour,"Wenn die Maus satt ist, schmeckt das Mehl bitter.","Deutsches Sprichwort"
Flower,"Der Duft der Blumen ist weit süßer in der Luft, als in der Hand.","Francis Bacon"
Flower,"Die Blume zieht die Biene, die Anmuth den Menschen.","Sprichwort"
Flower,"Die Blumen riechen dem Armen wie dem Reichen.","Sprichwort"
FM radio,"Dieses Raumschiff hat Schalensitze, ein UKW-Radio und *klick* selbsttönende Scheiben …","Independence Day"
Food,"Die Deutschen halten bei Tisch immer den Mund, obwohl Essen der beste Gesprächsstoff ist.","Wolfram Siebeck"
Food,"Die Kunst ist zwar nicht das Brot, wohl aber der Wein des Lebens.","Jean Paul"
Food,"Tatsachen sind für den Geist, was die Nahrung für den Körper ist.","Edmund Burke"
Forest,"Im Walde hätte nicht die Axt so leichtes Spiel,\nhätt' ihr der Wald nicht selbst geliefert ihren Stiel.","Friedrich Rückert"
Free apps,"Das freie Schaf frißt der Wolf.","Sprichwort"
Freezer,"Gott gibt nicht mehr Frost als Kleider.","Deutsches Sprichwort"
Frozen food,"Im US-Staat Massachusetts boten Lebensmittel-Einzelhändler 1930 erstmals Tiefkühlkost an.","Wissenswertes"
Fun,"Der Scherz ist oft ein Loch, aus dem die Wahrheit pfeift.","aus Asien"
Fun,"Drei Dinge dulden kein Scherz: das Auge, die Ehre und ein redlich Herz.","Deutsches Sprichwort"
Fun,"Ernst und Scherz sind oft Nachbarn.","Sprichwort"
Game,"Jagd ist nur eine feige Umschreibung für besonders feigen Mord am chancenlosen Mitgeschöpf.\nDie Jagd ist eine Nebenform menschlicher Geisteskrankheit.","Theodor Heuss"
Games,"Drei Dinge verblenden viel: Buhlschaft, Wein und Spiel.","Sprichwort"
Games,"Ein ehrliches Spiel unter guten Freunden ist ein redlicher Zeitvertrieb.","Voltaire"
Games,"Einer gegen viel hat immer böses Spiel.","Sprichwort"
Gas mask,"Auf die Frage des Gefängnisdirektors nach seinem letzten Wunsch antwortete White: ""Bitte geben Sie mir eine Gasmaske, etwas anderes kann ich unter diesen Umständen nicht brauchen.""","Robert H. White"
Generosity,"Der ist recht edel in der Welt, so Tugend liebt und nicht das Geld.","Deutsches Sprichwort"
Generosity,"Die Herzen werden nicht durch Waffen, sondern durch Liebe und Edelmut besiegt.","Baruch de Spinoza"
Generosity,"Edel ist, den seine Tugend adelt.","Sprichwort"
Ghost,"Die öffentliche Meinung gleicht einem Schlossgespenst: niemand hat es gesehen, aber alle lassen sich von ihm tyrannisieren.","Sigmund Graff"
Ghost,"Es ist nicht all ein Gespenst, was in der Tochter Kammer gehet.","Deutsches Sprichwort"
Ghost,"Gleich und gleich gesellt sich gern, sagte der Teufel zum Gespenst.","Deutsches Sprichwort"
Ghost,"Jede Erscheinung beweist ihre Notwendigkeit durch ihr Dasein.","Baruch de Spinoza"
Ghost,"Um den Einsamen schleichen Gespenster.","Jean Paul"
Ghost,"Unsere Welt wird noch so fein werden, daß es so lächerlich sein wird, einen Gott zu glauben als heutzutage Gespenster.","Georg Christoph Lichtenberg"
Ghoul,"Es gibt keine geborenen Ungeheuer.","Manfred Schröder"
Ghoul,"Mein blöder Dämon seufzt nur immer, spricht immer nur von seiner Qual.","J. W. L. Gleim"
Gift,"Jeder hat seine eigene Gabe von Gott.","1. Kor. 7,7"
Gift,"Langsame Gabe verliert den Dank.","Sprichwort"
Gift,"Schönen Mädchen ist es erlaubt, auf ihre Gabe stolz zu sein.","Martin Luther"
Glass,"Eine einzige Fliege verderbt ein Glas guten Wein.","Sprichwort"
Glass,"Glück und Glas — wie leicht bricht das.","Sprichwort"
Glass,"Zu viel Furcht zerbricht das Glas.","Sprichwort"
Glue,"Freundschaft ist der einzige Klebstoff, der die Welt zusammenhält.","Woodrow Wilson"
Gluttony,"Völlerei bringt Buhlerei, Buhlerei bringt Buberei",""
Gluttony,"Wo genügend Flaschen sind, darf man den Mund ruhig voll nehmen.","unbekannt"
Goblin,"Jede Haushalt sollte einen Kobold haben.","alte Bauernweisheit"
Gold,"Hast du Gold, wird dir Wehr und Waffe hold.","Lateinisches Sprichwort"
Gold,"Heut in Gold und Seide, norgen der Würmer Weide.","Sprichwort"
Gold,"Morgenstund´ hat Gold im Mund.","Sprichwort"
Gold present,"Hast du Gold, wird dir Wehr und Waffe hold.","Lateinisches Sprichwort"
Gold present,"Heut in Gold und Seide, norgen der Würmer Weide.","Sprichwort"
Gold present,"Morgenstund´ hat Gold im Mund.","Sprichwort"
Gold_lost,"Gold schenkt die Eitelkeit, der raue Stolz.\nDie Freundschaft und die Liebe schenkt Blumen.","Franz Grillparzer"
Golem,"Und Gott blies ihm den lebendigen Atem in die Nase, und der Mensch erwachte zum Leben.","unbekannt"
GPS,"Seit ich ein GPS habe, verlauf ich mich viel genauer.","unbekannt"
Grass,"Auch die besessensten Vegetarier beißen nicht gern ins Gras.","Joachim Ringelnatz"
Grass,"Auf dem Fußpfade wächst kein Gras.","Sprichwort"
Grass,"Auf dem Weg, den viele gehn, wachst kein Gras.",""
Grass,"Das Gras wachst nicht schneller, wenn man daran zieht.",""
Grass,"Man darf nicht das Gras wachsen hören, sonst wird man taub.","G. Hauptmann"
Grass,"Nur hohe Berge haben Schnee und Gras beisammen.","Sprichwort"
Greed,"Die Welt hat genug für jedermanns Bedürfnisse, aber nicht genug für jedermanns Gier.","Mahatma Gandhi"
Greed,"Geld ist nichts. Aber viel Geld, das ist etwas anderes.","George Bernard Shaw"
Greed,"Wir denken selten an das, was wir haben, aber immer an das, was uns fehlt.","Arthur Schopenhauer"
Guitar present,"Wahre Kunst bleibt unvergänglich.","Ludwig van Beethoven"
Gunpowder,"Ein Droher verschiesst sein Pulver umsonst.","Sprichwort"
Gunpowder,"Ein Kuß klingt nicht so laut wie eine Kanone. Aber das Echo lebt länger.","Oliver Wendell Holmes"
Gunpowder,"Etwas ist keinen Schuß Pulver wert!","Sprichwort"
Gunpowder,"Ist Feuer im Herzen, so muß man kein Puler in den Kopf thun.","Deutsches Sprichwort"
Hacker,"Einloggen, frohloggen, ausloggen.","Wau Holland"
Hacker,"Hacker dieser Welt - vereinigt euch.","Hackers"
Hacker,"Und denkst dran: Hacken ist mehr als nur ein Verbrechn. hacken ist ein Überlebenstraining.","Hackers"
Hacker,"xxx:""Wie heißt eigentlich deine Freundin?""\nyyy: ""Sabrina.jpg""",""
Half-elf,"Die Hälfte der Menschen lacht auf Kosten der anderen.","Sprichwort"
Hammer,"An eines Advocaten Tür muß man nicht mit eisernem Hammer klopfen.","Italienisches Sprichwort"
Hammer,"Der Amboß erschrickt or dem Hammer nicht.","Sprichwort"
Hammer,"Einem faulen Arbeiter ist jeder Hammer zu schwer.","Sprichwort"
Hammer_lost,"Für Leute, die nur einen Hammer als Werkzeug haben, ist jedes Problem ein Nagel.","Chinesisches Sprichwort"
Hangover,"Realität ist die Illusion, die aus Mangel an Alkogol entsteht.","aus Irland"
Hawk,"Weil er schweigt, sitzt der Falke auf der Hand des Königs. Weil die Nachtigall singt, ist sie im Käfig eingesperrt.","Fariduddin Attar"
Healing,"Ehrenwunden sind schwer zu heilen.","Sprichwort"
Healing,"Es hat nicht jeder Arzt die rechte Hand zum Heilen.","Sprichwort"
Healing,"Was Butter und Whisky nicht heilen, dafür gibt es kein Heilung.","aus Irland"
Helicopter,"Wir leben in einem Paradies! Das sieht man besonders gut aus'm Hubschrauber.","Franz Beckenbauer"
Helicopter,"xxx: Warum sitzen in einem Hubschrauber immer 2 Leute?\nyyy: Der eine hupt, der andere schraubt!",""
Heresy,"Bauern und Glöckner richten selten Ketzerei an.","unbekannt"
Heresy,"Es gibt Dinge, die man bereut, ehe man sie tut. Und man tut sie doch.","Friedrich Hebbel"
Heresy,"Jede neue Wahrheit beginnt ihren Weg als Ketzerei und beendet ihn als Orthodoxie.","Thomas Huxley"
Heresy,"Meister Gut Dunkel ist aller Ketzerei Großvater.","House Haus"
Hero,"Der Held ist einer, der fünf Minuten länger tapfer ist, als der gewöhnliche Mann,","R. W. Emerson"
Hero,"Geld treugt den Held.","Sprichwort"
Hero,"Wer nicht fechten kann als Held, der flieh als Hase aus dem Feld.","Deutsches Sprichwort"
Hidden treasure,"Fünfzehn Mann auf des toten Manns Kiste,\nHo ho ho und 'ne Buddel mit Rum!","Robert Luis Stevenson"
Hope,"Beim Dienst der Könige findet sich zweierlei: Hoffnung auf Brot und Gefahr zum Tod.","Deutsches Sprichwort"
Hope,"Furcht und Hiffnung sind friedliche Schwestern.","Sprichwort"
Hope,"Hoffnung kann erst nach der Trauer kommen.","unbekannt"
Horus,"Horus ist der Gott des Himmels und der königlichen Autorität. Der ägyptische König der Antike wurde als irdische Verkörperung des Gottes Horus angesehen.",""
House,"Der Friede beginnt im eigenen Haus.","Karl Jaspers"
House,"Eine Frau, die immer im Putz, ist dem Haus kein Nutz.","Deutsches Sprichwort"
House,"Um Arbeit und Mühe gibt Gott Haus, Hof und Kühe.","Deutsches Sprichwort"
House,"Wem Fortuna ein Haus geschenkt, dem schenkt sie auch Möbel.","Wilhelm Busch"
House,"Wo gehen wir hin? ""Immer nach Hause"".","Novalis"
Human,"An Eigennutz und Tand wird der Mensch erkannt.","Holländisches Sprichwort"
Human,"Auch Buddha war zuerst ein gewöhnlicher Mensch.","aus Japan"
Human,"Auswendig ein Mensch, inwendig ein Wolf.","Sprichwort"
Human,"Das beste Monument des Menschen ist der Mensch.","Johann Wolfgang von Goethe"
Human,"Denke dir ein Endliches ins Unendliche gebildet, so denkst du einen Menschen.","Friedrich Schlegel"
Human,"Mensch: die Krönung der Schöpfung. Wie schade, dass es eine Dornenkrone ist.","Stanislaw Jerzy Lec"
Human_lost,"An Eigennutz und Tand wird der Mensch erkannt.","Holländisches Sprichwort"
Human_lost,"Auch Buddha war zuerst ein gewöhnlicher Mensch.","aus Japan"
Human_lost,"Auswendig ein Mensch, inwendig ein Wolf.","Sprichwort"
Humility,"Ohne Demut sind alle Tugend Laster.","Sprichwort"
Humility,"Wo Glück aufgeht, da geht Demut unter.","Deutsches Sprichwort"
Hunter,"Das Auge, sagt der Jäger, schiesset seinem Herrn kein Wild.","Sprichwort"
Hunter,"Es sind nicht alle Jäger, die das Horn gut blasen.","Deutsches Sprichwort"
Hut,"Der Blitz trifft eher Thurm als eine Hütte.","Deutsches Sprichwort"
Hut,"Mancher baut ein Schloß in die Luft, der kene Hütte auf den Sand bauen kann.","Sprichwort"
Hut,"Raum ist in der kleinsten Hütte für die glücklich liebend´ Paar.","Friedrich von Schiller"
Hybrid vehicle,"Die Tendenz spricht für das Hybridfahrzeug.","J.W.  Biermann"
Hypertext,"Das Internet wurde von Engländer Tim Berners-Lee erfunden. Er entwickelte es im CERN (Schweiz) und stellte 1991 in San Antonio, USA, den Besuchern den Hypertext vor.","unbekannt"
Ice,"Auch festes Eis macht die Sonne zu Wasser.","Sprichwort"
Ice,"Dickes Eis vergeht auch.","unbekannt"
Ice,"Die Bitte ist immer heiß, der Dank kalt.","Sprichwort"
Ice cream,"Dem Satten schmeckt das Beste nicht.","Sprichwort"
Illithid,"Auch Monster brauchen Liebe.","unbekannt"
Illusion,"Unvergänglichkeit gewordener Gedanken ist eine Illusion.","Oswald Spengler"
Internet,"Das Internet vereint Millionen! Zumeist jedoch in gebündelter Einsamkeit.",""
Internet,"Ein nur virtueller Jesus würde lehren: ""Ich bin der Weg, die Wahrheit und das Internet"".","Rupert Schützbach"
Internet,"Was Tod und Teufel nicht wissen – das Internet weiss es.",""
Internet,"Wissen ist Macht.","Sprichwort"
Island,"Was kümmert mich der Schiffbruch der Welt,\nich weiß von nichts als meiner seligen Insel.","Friedrich Hölderlin"
Jerky,"Ja, ja geben Sie mir bitte, ja geben sie mir ein Musketierheft und einen Vierfarbenstift, so einen kleinen Kamm da, eine Flasche Old Harper, und äh Taschenlampenbatterien und Trockenfleisch in der Tüte.","Terry Fields in „American Graffiti“"
Jet engine,"Das Triebwerk der Frau ist viel stärker als das unsere, all seine Hebel bewegen das menschliche Herz.","Jean-Jacques Rousseau"
Joker present,"Besser arm, jung und weise, als reich, alt und ein Narr.","Deutsches Sprichwort"
Joker present,"Die Feste vergehen, der Narr bleibt.","Sprichwort"
Joker present,"Gott hat den Weisen Sorgen gegeben, dafür den Narren ein sanftes Wesen.","Volksmund"
Journalist,"Was das Publikum in einer Zeitung sucht, ist das anderswo nirgends Beschaffbare.","Edgar Allan Poe"
Joy,"Fröhlich in Ehren mag niemand verkehren.","Deutsches Sprichwort"
Joy,"Fröhlich ist, wer lacht und singt, auch wenn das Leben Sorgen bringt.","Deutsches Sprichwort"
Joy,"Oft fröhlich, selten reich.","Sprichwort"
Karaoke,"Ich kann 3-stimmig Karaoke singen: falsch, laut und mit Begeisterung.","unbekannt"
Kevlar,"Face: ""Sah verdammt gut aus Hannibal. Hab schon gedacht, deine kugelsichere Weste ist kaputt.“","A-Team (Film)"
Key,"Die Frau ist der Schlüssel des Hauses.","Sprichwort"
Key,"Faulheit ist der Schlüssel zur Armuth.","Sprichwort"
Key,"Geduld ist der Schlüssel zur Freude.","Sprichwort"
King,"Daheim bin ich König.","Sprichwort"
King,"Immer bleibt der Aff´ ein Affe, wird er König oder Pfaffe.","Sprichwort"
King,"Unter Blinden kann auch ein Buckliger König sein.","Sprichwort"
Knife,"Es sind nicht alle Köche,\ndie lange Messer tragen.","Deutsches Sprichwort"
Knowledge,"Die Alten haben Gewissen ohne Wissen, wir haben das Wissen ohne Gewissen.","Deutsches Sprichwort"
Knowledge,"Ich weiß, daß ich nicht weiß.","Sokrates"
Knowledge,"Sag nicht alles, was du weißt, aber wisse immer, was du sagst.","Matthias Claudius"
Knowledge,"Wer wissen will, ob eine Frau schön, muß sie beim Aufstehen sehn.","Sprichwort"
Knowledge,"Zu wissen, was man weiß, und zu wissen, was man tut, das ist Wissen.","Konfuzius"
Lair,"Es muß ein schlechter Fuchs sein, der nur ein Loch hat.","Sprichwort"
Lair,"Verachte nicht die Höhle, in der du dich einmal versteckt hast.","Suaheliweisheit"
Laser,"""Aber wie kann das Ufo vollständig neutralisiert werden?""\n""Mit diesem Schweizer Taschenlaser!""","(T)Raumschiff Surprise"
Laser,"Nicht Gewehre bringen Menschen um - Menschen bringen Menschen um!""","Needful Things"
Laser,"Wer´s Licht scheut, hat nichts Gutes im Sinn.","Sprichwort"
Lava,"Aschehaufen haben es gern, wenn man sie für erloschene Vulkane hält.","Wieslaw Brudzinski"
Lava,"Und wie wir eben Menschen sind, wir schlafen sämtlich auf Vulkanen.","Johann Wolfgang von Goethe"
Lava,"Wo Rauch ist, da ist ein Feuer.","Sprichwort"
Law,"Das Gesetz richtet nur Zorn an.","Sprichwort"
Law,"Gesetz und Recht sind verschieden Geschlecht.","Sprichwort"
Law,"Was das Gesetz nicht verbietet, das verbietet der Anstand.","Seneca"
Leaves,"Man kann einen Baum nicht nach der Güte seiner Blätter einschätzen,\nsondern nur nach der Güte seiner Früchte.","Giordano Bruno"
Liana,"Wer hat die Liane eingeölt?","Tarzans letzte Worte"
Lie detector,"Er brauch keinen Lügendetektor, er ist selber einer!","Meine Braut, ihr Vater und ich"
Life,"Es kommt nicht darauf an, dem Leben mehr Jahre zu geben, sondern den Jahren mehr Leben zu geben.","Alexis Carrel"
Life,"Wenn wir bedenken, daß wir alle verrückt sind, ist das Leben erklärt","Mark Twain"
Life,"Wer das Leben nicht schätzt, der verdient es nicht.","Leonardo da Vinci"
Life,"Wer dürstet, der komme, und wer da will, der nehme das Wasser des Lebens umsonst.","Offenbarung 22,17"
Light,"Die Mütter geben unserem Geist Wärme, die Väter Licht.","Jean Paul"
Light,"Ein blödes Auge kann das Licht nicht ertragen.","Sprichwort"
Light,"Man muss nicht unbedingt das Licht des anderen ausblasen, um das eigene Licht leuchten zu lassen.","Phil Bosmans"
Light,"Sobald ein Optimist ein Licht erblickt, das es gar nicht gibt, findet sich ein Pessimist, der es wieder ausblast.","Giovanni Guareschi"
Light,"Was im Dunkel ist, wird ans Licht kommen.","Sprichwort"
Light,"Wo viel Licht ist, ist starker Schatten.","Johann Wolfgang von Goethe"
Lightbulb,"Bei einer Kerze ist nicht das Wachs wichtig, sondern das Licht.","A. de Saint-Exupery"
Limestone,"Steter Tropfen hölt den Stein.","Sprichwort"
Liquid paper,"Wie erkennt man, dass eine Blondine am Bildschirm saß? Tipp-ex auf dem Bildschirm.","unbekannt"
Livestock,"Arme haben die Kinder, Reiche die Rinder.","unbekannt"
Livestock,"Daheim erzogen Kind ist in der Fremde wie ein Rind.","Sprichwort"
Lizard,"Schnell genug, was gut genug.","Sprichwort"
Locomotive,"Reisende soll man nicht aufhalten.","Sprichwort"
Love,"Drei Dinge verdeckt kein Strauch: Liebe, Husten und Rauch.","Deutsches Sprichwort"
Love,"Furcht und Liebe sind des Lebens Getriebe.","Sprichwort"
Love,"Liebe bringt selbst den Esel zum Tanzen.","Französisches Sprichwort"
Lust,"Der kalten Brust fehlt Kraft und Lust.","Sprichwort"
Lust,"Die Wollust ist die Prämie der Natur für die Mühen von Zeugungen und Geburt.","Sigmund Freud"
Lust,"Nimm den Dieb vom Galgen, er wird Lust bekommen, dir den Hals abzuschneiden.","Deutsches Sprichwort"
Lust,"Treue ist eine Schwester der Liebe, Wankelmut ein Bruder der Wollust.",""
Lust,"Wozu der Mensch Lust hat, dazu hat auch Andacht.","Sprichwort"
Mace,"Des Bettlers Stab geht nicht ins Getreide.","Sprichwort"
Mace,"Geh nicht ohne Stab in den Schnee.","unbekannt"
Mace,"Zum Bart gehört ein Stab.","Sprichwort"
Magic,"Der Zauber steckt immer im Detail.","Theodor Fontane"
Magic,"Kunst ist Magie, befreit von der Lüge, Wahrheit zu sein.","Theodor W. Adorno"
Magic,"Politik ist Magie. Welcher die Mächte aufzurufen weiß, dem gehorchen sie.","Hugo von Hofmannsthal"
Magic,"Schule ist wie Schwarze Magie im Mittelalter, keiner verstehts, jeder hast es, kinder haben angst davor und mann will alles davon verbrennen.","bash.org"
Man,"Der ideale Mann: der Mann, von dem alle Frauen träumen und den keine kennt.","Anna Magnani"
Man,"Der kluge Mann baut vor.","Friedrich Schiller"
Man,"Ein wahrhaft großer Mann wird weder einen Wurm zertreten noch vor dem Kaiser kriechen.","Benjamin Franklin"
Manure,"Die Erde braucht Dünger wie der Fisch das Wasser.","Chinesisches Sprichwort"
Manure,"Doppelter Dünger verdoppelt das Feld.","Deutsches Sprichwort"
Manure,"Wer den Dünger schont, dem wird schlecht gelohnt.","Sprichwort"
Map,"Eines Menschen Heimat ist auf keiner Landkarte zu finden,\nnur in den Herzen der Menschen, die ihn lieben.","Margot Bickel"
Maze,"Irren ist menschlich.","Sprichwort"
Meat,"Besser ein Spatz im Hafen als gar kein Fleisch.","Deutsches Sprichwort"
Meat,"Solange wir Fleisch essen,\nkönnen wir uns nicht über Pelze beschweren.","Karl Lagerfeld"
Mechanism,"Die Bürokratie ist ein gigantischer Mechanismus, der von Zwergen bedient wird.","Honore de Balzac"
Mechanism,"Eines Tages werden Maschinen vielleicht denken können, aber sie werden niemals Phantasie haben","Theodor Heuss"
