3D holography,"Noi potremmo essere l'immagine olografica di una struttura a due dimensioni.","Brian Greene"
Corpse,"C'è stato un lugubre equivoco.","La sposa cadavere (film)"
Corpse,"Proverai il gelido abbraccio della Morte!","Sub-Zero (""Mortal Kombat"")"
Crayons,"Gli artisti sono bambini che si rifiutano di abbandonare i loro pastelli.","Al Hirschfeld"
Credit card,"Chi ha i soldi naviga con vento sicuro.","Petronio Arbitro"
Credit card,"Chi non trascura il soldo e il quattrino, adagio adagio arriva allo zecchino.","F.Pananti"
Crocodile,"Devi attraversare il fiume prima di dire al coccodrillo che ha un cattivo alito.","Proverbio cinese"
Crossbow,"Deh! non fallirmi nel più grave cimento, o mia balestra, tu che in tanti convivi, in tanti giochi m'hai fedele obbedito...","F.Shiller"
Crossbow,"Un arco non dorme mai.","Proverbio navajo"
Crossword,"Il proprietario era un buon diavolo, ma irritante quando faceva le parole crociate. Dava risposte assurde, non rispettava la definizione, non teneva conto delle caselle","Fred Vargas"
Crystall ball present,"Ecco a cosa serve il futuro: a costruire il presente con veri progetti di vita.","Muriel Barbery"
Crystall ball present,"Se vuoi un'immagine del futuro, immagina uno stivale che calpesta un volto umano.","George Orwell"
Cyborg,"Cari genitori, non preoccupatevi se i vostri bambini trascorrono una buona parte del loro tempo davanti a un computer navigando su Internet: stanno imparando, sperimentando la realtà con la quale dovranno misurarsi nella vita.","Marco Pratellesi"
Cyborg,"Ci sono solamente 10 tipi di persone nel mondo: chi comprende il sistema binario e chi no.","Anonimo"
Cyborg,"Come robot avrei potuto vivere per sempre, ma dico a tutti voi oggi, che preferisco morire come uomo, che vivere per tutta l'eternità come macchina.",""
Cyborg,"Io faccio amici. Giocattoli. I miei amici sono giocattoli.","""Blade Runner"" (film)"
Cyborg,"La disumanità del computer sta nel fatto che, una volta programmato e messo in funzione, si comporta in maniera perfettamente onesta.","I.Asimov"
Cyborg,"Penso a come quasi tutti, nelle società urbane potrebbero essere visti come low-tech cyborg, perché trascorrono gran parte del giorno collegati a macchine.",""
Darkness,"La paura è la via per il lato oscuro.","Yoda"
Darkness,"Lu tempu passa\nMa non agghiorna\nNon c'e mai suli\nS'idda non torna.","Nino Rota (""Il Padrino"" soundtrack)"
Darkness,"Oscuro Signore, Signore di Mordor, Signore degli Anelli, Creatore dell'Unico, Ingannatore, Mano Nera, Aborrito, Oscuro Potere, Signore di Barad-dûr, Negromante, Grande Occhio, Nemico, Crudele, Ombra dell'Est.","Sopranommi di Sauron"
Darkness,"Se guardi nel buio a lungo, c'è sempre qualcosa.","W.B.Yeats"
Darkness,"Se la bellezza è un'ombra, il desiderio è un lampo.","A.france"
Dead dragon,"Colui che da una diversa visione della cosa più è commosso, non teme le angustie della morte.","Giordano Bruno"
Dead dragon,"Colui che vive lottando contro la stessa vita agonizza.","Miguel de Unamuno"
Dead dragon,"È tempo di credere alla vita, in tempo di morte.","Commodiano"
Death,"Chi sei tu, chi sono io per dire che conosciamo il motivo per cui alcuni uomini nascono e altri muoiono sotto un'unico, infinito cielo?","Pink Floyd"
Death,"Mihi heri, et tibi hodie (oggi a me, domani a te).","Ecclesiastico 28:23"
Death,"Quando la mela è matura cade; perché?","Lev Tolstoj"
Death metal,"Il rumore non fa bene. Il bene non fa rumore.","Niccolò Castiglioni"
Death metal,"L'unico modo per sentire il rumore è quando è buono e forte.","Motörhead"
Death star present,"Invece di maledire il buio è meglio accendere una candela.","Laozi"
Death star present,"Io vivo per soffrire, e vorrei sol morire!","Andrew Matthews"
Debt,"Bisogna sempre lasciare accumulare i propri debiti, per potere poi venire ad una transazione.","G. de Maupassant"
Debt,"Mala cosa nascer povero, il mio caro Renzo!","A.Manzoni"
Debt,"Non abbiate alcun debito con nessuno, se non quello di un amore vicendevole...","Paolo di Tarso"
Demigod,"Intra due cibi, distanti e moventi\nd'un modo, prima si morria di fame,\nche liber l'uomo l'un recasse a' denti.","Dante, Paradiso"
Demigod,"Venezia, metà donna, metà pesce, è una sirena che si disfà di una palude dell'Adriatico.","Jean Cocteau"
Demigod,"Vuoi essere simile alla natura degli dei? Sii misericordioso con gli animali: la dolce misericordia è il vero segno della nobiltà.","William Shakespeare"
Demon,"Con Faust ho preso un abbaglio…","Monologo XII Parla Mefistofele (Fernando Savater)"
Demon,"Il carattere dell'uomo è il suo demone.","Eraclito"
Demon,"Questa città merita un criminale di maggior classe. E io sono pronto a darglielo.","Joker"
Desert,"Ho sempre amato il deserto. Ci si siede su una duna di sabbia. Non si vede nulla. Non si sente nulla. E tuttavia qualche cosa risplende in silenzio...","Antoine de Saint-Exupéry"
Desert,"Lo spirito del deserto spinge l'uomo a non star mai fermo in nessun luogo e a prender la roba dove c'è. Come il pesce nuota nel mare e l'uccello vola nel cielo.","Vittorio Giovanni Rossi"
Diet,"Dieta: nel primo significato la parola deriva dal greco diaita che significa modo di vivere; nel secondo dal latino dies (ossia giorno) e quindi significa assemblea da riunire in un determinato giorno.","A.Cutolo"
Diet,"La solitudine è la dieta dell'anima.","F.Algarotti"
Diet,"Non ho bisogno di fare la dieta. Ogni volta che entro a Marassi perdo tre chili.","V.Boskov"
Digital camera,"Quando riprendi qualcosa e lo registri sulla videocamera digitale puoi accedervi immediatamente, non devi perdere tempo con altra attrezzatura.","Werner Herzog"
Digital clock,"John... sei una sveglia analogica nell'era digitale... perderai.","Die Hard"
Digital photography,"Attrezzatura e tecnica sono solo l'inizio. È il fotografo che conta più di tutto.","John Hedgecoe"
Diligence,"Il leone usa tutta la sua forza anche per uccidere un coniglio.","Sunzi"
Diligence,"La diligenza mette in atto rapidamente ciò che l'intelligenza ha maturamente pensato.","Baltasar Gracián"
Diligence,"Su, Diligenza, che fai? perché tanto ociamo e dormiamo vivi, se tanto tanto doviamo ociar e dormire in morte?","G.Bruno"
Dinosaur,"Che cosa ha ucciso i dinosauri? L'era glaciale!","Mr.Freeze (Batman&Robin)"
Dinosaur,"Dio crea i Dinosauri.\nDio distrugge i Dinosauri. Dio crea l'Uomo. L'Uomo distrugge Dio.\nL'Uomo crea i Dinosauri.","Jurrasic Park (film)"
Discipline,"Chi è nato per obbedire obbedirebbe anche sul trono.","Luc de Clapiers de Vauvenargues"
Discipline,"È meglio non comandare del non venire obediti.","C.Dossi"
Discipline,"Impara a ubbidire e imparerai a comandare.","Solone"
DNA,"Potrei dire che anche il vostro DNA non è altro che un programma di autoconservazione.","Ghost in the Shell"
DNA fingerprinting,"L'unico lato negativo dell'analisi del DNA è che abbiamo eliminato tutti i maggiori sospettati.","Richard Eaton"
Dog,"Colui che uccide un cane uccide la propria anima.","Zoroastro"
Dog,"Il cane fedele riceve una museruola decorativa.","Stanisław Jerzy Lec"
Dog,"Un'obbedienza senza ascolto e senza dialogo non è obbedienza.","A.Bello"
Dolphin,"I pesci non sono fatti per vivere rinchiusi. L'acquario ti cambia dentro.","Alla ricerca di Nemo"
Donation,"Che cos'è una comunità senza carità fraterna? Un purgatorio o meglio un inferno anticipato.","G.Allamano"
Donation,"Il denaro consacrato alla beneficenza non ha merito se non rappresenta un sacrifizio, una privazione.","Cesare Cantù"
Donation,"Non va bene esagerare in beneficenza, perché ad un certo punto non si guadagna più che l'odio del beneficiato.","C.Pavese"
Dough,"In realtà nessun essere umano indifferente al cibo è degno di fiducia.","Manuel Vázquez Montalbán"
Dough,"Se non hanno pane, che mangino brioches!","Attribuita a Maria Antonietta d'Asburgo-Lorena"
Dragon,"Allora apparve un altro segno nel cielo: un enorme drago rosso, con sette teste e dieci corna e sulle teste sette diademi.","Apocalisse 12:3"
Dragon,"Ma la terra venne in soccorso alla donna, aprendo una voragine e inghiottendo il fiume che il drago aveva vomitato dalla propria bocca.","Apocalisse 12:6"
Dragon,"Mi fecero gestire una nuova corporazione chiamata ""Dungeons and Dragons Entertainment.""","Gary Gigax"
Dragon,"Il suo nome era Cerutti Gino, ma lo chiamavan ""drago"".","Giorgio Gaber"
Drow,"L'evoluzione della civiltà è sinonimo dell'eliminazione dell'ornamento dall'oggetto d'uso.","A.Loos"
Drow,"Non temere di essere giudicato non moderno.","A.Loos"
Drow,"Ogni arte è erotica.","A.Loos"
Druid,"Ite sul colle, o druidi,\nite a spiar ne' cieli\nquando il suo disco argenteo\nla nuova luna sveli...","Norma (Opera di Bellini)"
Druid,"L'abito non fa il druido.","Obelix"
Duct tape,"È difficile camminare con disinvoltura quando si ha mezzo milione di dollari attaccato alla pancia con il nastro adesivo.","Christopher Reich"
Duergar,"Il mito si perpetua perché la storia abbia un qualche senso.","David Bidussa"
Dust,"L'ombra, come la polvere, è il nostro fondo nascosto.","Roberto Peregalli"
Dust,"Polvere sei e polvere tornerai, ma tra una polvere e l'altra un buon bicchiere non fa mai male.","Proverbio yiddish"
DVD,"Però questa scena è stata tagliata. Oh, ma sono sicuro che ci sarà, sul DVD.","Tony Wilson"
Dwarf,"Care fiabe che commossero i popoli del tempo dei tempi, e che rallegrano, allorché volte in prosa, i ragazzi d'oggi.","Olga Visentini"
Dwarf,"Se sei gnomi magnano sei gnocchi con gli occhi, con gli occhi quanti gnocchi magna ogni gnomo?","Scioglilingua italiana"
Earth,"Eppur si muove!","G.Galilei"
Earth,"Il sistema solare comprende il Sole, Giove e detriti vari.","Arthur C. Clarke"
Earth,"La terra [...] è come la donna: non vuole si sia con essa né timidi né brutali.","Anatole France"
Earth,"La terra è come la donna: non vuole si sia con essa né timidi né brutali.","Anatole France"
Earth,"La terra è immortale, per questo in lei si trova il mistero della creazione.","Anwar al Sadat"
Egg,"Come nutrimento l'uovo è superiore a tutti gli altri cibi, presi in quantità non superiore al volume dell'uovo.","Talmud"
Egg,"Il cosiddetto latte d'uccello è il bianco dell'uovo.","Anassagora"
Egg,"Singula post ova pocula sume nova (dopo ogni uovo, bevi un altro bicchiere di vino).","Scuola Medica Salernitana"
Egg,"Una gallina è soltanto lo strumento usato da un uovo per fare un altro uovo.","Samuel Butler"
Egyptian priest,"Nell’antico Egitto i sacerdoti non erano solo i custodi dei sacri misteri, ma anche degli amministratori. I sacerdoti egizi hanno svolto un ruolo importante nella formazione e nella prosperità dello stato.",""
Electricity,"La luce crede di viaggiare più veloce di tutto, ma si sbaglia. Per quanto sia veloce, la luce scopre sempre che il buio è arrivato prima di lei, e l'aspetta.",""
Electricity,"Ma dobbiamo veramente accendere una candela per vedere il Sole?","Wernher von Braun"
Electricity,"Per rifornire di elettricità un terzo dell'Italia, un'area equivalente a 15 centrali nucleari da un gigawatt, basterebbe un anello solare grande come il raccordo di Roma.","C.Rubbia"
Elf,"Gimli: Chi pensava di morire combattendo fianco a fianco a un Elfo?\nLegolas: E invece fianco a fianco ad un amico?",""
Elf,"la leggenda può servire alla storia e la fiaba alla vita: ma storia e vita non sono poi l'una continuazione dell'altra?","Olga Visentini"
Elf,"Qualcuno ha definito gli Eldar una razza in decadenza. Se questo è vero le armate Imperiali dovrebbero imparare da un tale tipo di decadenza.","WH40000, Colonnello Brin"
Energy,"Grandezza umana' è un'energia non comune, unita con la dirittura, con l'intelletto agile e diretto; è incompatibile con chi mente a se stesso e indulge in meschine finzioni.","Ezra Pound"
Energy,"lo sai che in alcuni paesi il letame è usato come combustibile?","""Tartarughe Ninja-3"" (film)"
Energy,"Questo è sempre stato il destino dell'energia nei tempi di pace: avvicinarsi all'arte e all'erotismo per poi languire e spegnersi.","H.G.Wells"
Envy,"Alcuni dicono che abbiamo tredici album e che sembrano tutti uguali. Non è vero. Abbiamo quattordici album che sembrano tutti uguali.","Agnus Young (AC/DC)"
Envy,"Il primo peccato del diavolo è stata l'invidia, scaturita dal fatto di sapere che il Verbo si sarebbe incarnato.","Fabrice Hadjadj"
Envy,"L'invidia è come una palla di gomma che più la spingi sotto e più torna a galla.","Alberto Moravia"
Envy,"L'invidia è una terribile fonte di infelicità per moltissima gente.","Bertrand Russell"
Envy,"Se occhio non mira, cuor non sospira.","Proverbio"
Experience,"I cani abbaiano a quelli che non conoscono.","Eraclito"
Experience,"Il test di un programma può essere usato per mostrare la presenza di bug, ma mai per mostrare la loro assenza.","E.W.Dijkstra"
Experience,"La mente intelligente è una mente curiosa: non è soddisfatta delle spiegazioni né dalle conclusioni, e non si abbandona alla fede, perché anche la fede è una forma di conclusione.","Bruce Lee"
Fabric,"L'ombra aleggiava sulla tela come un alito nero...","Franco Enna"
Fabric,"Nel momento in cui leggo, è vero, sono come sospeso in un altrove tessuto di ombre e di fantasmi.","E.Raimondi"
Faith,"C'è una fede che si arricchisce dei concetti della ragione.","Battista Mondin"
Faith,"Il riso uccide la paura, e senza la paura non ci può essere la fede.","U.Eco"
Fast food,"Noi americani siamo dei malati di lavoro, sempre a preoccuparci del prodotto interno lordo, di telefoni cellulari, di cenare ai fast-food.","Diane Lane"
Fasting,"Chi si sottopone a digiuno non deve essere affetto da patologie psichiche.","S.Mangano"
Fasting,"Il digiuno non germoglia se non è innaffiato dalla misericordia.","Pietro Crisologo"
Fasting,"Il digiuno quaresimale è per il potenziamento dello spirito, mentre la dieta è per lo snellimento del corpo.","Fortunato Baldelli"
Fax machine,"La Bibbia non ci è arrivata per fax dal cielo.","Martyn Percy"
Feather,"A un certo punto era solo questo rapporto a interessarmi, la mia storia diventava soltanto la storia della penna d'oca della monaca che correva sul foglio bianco.","Italo Calvino"
Feather,"La penna è più potente della spada.","Edward Bulwer-Lytton"
Fern,"...l'alito del pino, della felce e del cedro, la smagliante distesa azzurra del mare lontano...","Ch.Morley"
Fern,"Sotto le felci canta il ruscello...","Matilda Serao"
Fern,"Tra le felci folte, tra i rovi sanguigni e spinosi, si fa strada l'acqua curiosa...","G. Fanciulli"
Fire,"Fuoco che Donna dà è sempre infernale.","Andrea Perrucci"
Fire,"Il fuoco attrae l'uomo che vi si identifica.","E.Canetti"
Fire,"Il fuoco attrae l'uomo che vi si identifica.","Elias Canetti"
Fire,"Il fuoco che sembra spento spesso dorme sotto la cenere.","P.Cornelle"
Fire_lost,"Poca favilla gran fiamma seconda","Dante Alighieri"
Firearm,"Chi ha detto che la penna ferisce più della spada ovviamente non si è mai trovato di fronte un'arma automatica.","D.MacArthur"
Firearm,"Suppongo che il suicida mentre appoggia alla tempia la canna della pistola provi per ciò che succederà l'attimo seguente quello che in quel momento provai io: un sentimento di curiosità.","H. G. Wells"
Firearm,"Tank: Allora, cosa vi serve, a parte un miracolo?\nNeo: Armi. Tante armi.","""Matrix"" (film)"
Fireball,"Chi combatte il fuoco col fuoco di solito finisce in cenere.","A. Van Buren"
Fireball,"Fuoco che Donna dà è sempre infernale.","A.Perucci"
Firecracker,"Altri si divertono a far scoppiare petardi. Noi facciamo scoppiare bombe atomiche.","William Bourke"
First computer,"Non ho paura dei computer, ma della loro eventuale mancanza.","Isaac Asimov"
Fish,"Gli occhi dietro alle lacrime come due pesciolini in un mare troppo stretto.","Margaret Mazzantini"
Fish,"Il pesce non fa mai quello che gli dice sua mamma.","Gene Gnocchi"
Fish,"Secondo una teoria da verificare, tutte le azioni del pesce gli si ritorcono contro.","Gene Gnocchi"
Fish,"Un uomo può pescare con il verme che ha mangiato un re e mangiare il pesce che ha mangiato quel verme.","W. Shakespeare"
Fish,"Oh, ambiguo, ambiguo, ambiguo pesce!","Monty Python"
Fish_lost,"Andai a pescare, ma non catturai alcun pesce commestibile; finché, quando stavo per andarmene, non catturai un giovane delfino.","Robinson Crusoe"
Fishing rod,"La pesca è noiosa, a meno che tu non riesca a catturare un pesce, nel qual caso è disgustosa.","Dave Barry"
Flash memory,"Le memorie flash stanno vendendo molto bene, quindi immagino non abbiano in programma di venderne.","Mark Grossman"
Flintstone,"Prepara i tuoi utensili. Dio ti troverà lavoro.","Charles Kingsley"
Floppy disk,"Quando cominciai a lavorare nel settore degli antivirus spedivamo gli aggiornamenti su dischetti da 5,25 pollici. Sono cambiate molte cose da allora.","Graham Cluley"
Flour,"Combattere i mulini a vento fa più male a te che ai mulini.","R.A.Heinlein"
Flour,"I grandi sono come quei mulini eretti sulle montagne, che non danno farina se non si dà loro del vento.","F.Pananti"
Flour,"Poca farina fa poco pane.","Proverbio italiano"
Flower,"Cogliere un fiore non è una gran cosa. È facile ed irrevocabile.","V for Vendetta"
Flower,"Mio miele, ti dono corone di fiori e questo canto; il canto è per te, le corone per il tuo genio, o Crizia...","Apuleio"
Flower,"Non bisogna mai ascoltare i fiori. Basta guardarli e annusarli.","Antoine de Saint-Exupéry"
FM radio,"Vedete, il telegrafo a filo è un tipo molto, molto lungo di gatto. Voi tirate la sua coda a New York e la sua testa miagola a Los Angeles.","Albert Einstein"
Food,"In realtà nessun essere umano indifferente al cibo è degno di fiducia.","Manuel Vázquez Montalbán"
Food,"Io sono il terrore che svolazza nella notte. Io sono il topolino che rosicchia il tuo formaggio. Io sono Darkwing Duck!","Darkwing Duck"
Food,"L'uomo è ciò che mangia.","Ludwig Feuerbach"
Forest,"Nella natura selvaggia sento il miracolo della vita, e al suo cospetto le nostre scoperte scientifiche sembrano solo delle banalità.","Charles Lindbergh"
Free apps,"Adamo era semplicemente un essere umano e questo spiega tutto. Non voleva la mela per amore della mela. La voleva soltanto perché era proibita.","Mark Twain"
Free apps,"Il software è come il sesso, è meglio quando è libero.","L.Torvalds"
Free apps,"Se tu hai una mela, e io ho una mela, e ce le scambiamo, allora tu ed io abbiamo sempre una mela per uno. Ma se tu hai un'idea, ed io ho un'idea...","G.B.Shaw"
Freezer,"Il tempo è fermo, bloccato, congelato.","E.Boncinelli"
Freezer,"Nessun problema può essere risolto congelandolo.","W.Churchill"
Frozen food,"Una biblioteca sono pensieri surgelati.","Herbert Samuel"
Fun,"Il divertimento è inesauribile, la serietà no.","J.P.Riechter"
Fun,"Il fucile è il vero re dell'Africa, uccidi gli uomini, incatena le donne.","Tippu Tip"
Game,"Ricordo l'unica volta in cui sono andata a caccia come un'esperienza raccapricciante.","Gloria Swanson"
Games,"Giocatori? Brutta razza.","C.Rozzi"
Games,"Il lavoro consiste in qualsiasi cosa il corpo sia obbligato a fare... Giocare consiste in qualsiasi cosa che il corpo non sia obbligato a fare.","M.Twain"
Gas mask,"Sono colpevole di aver acquistato una maschera a gas dopo l'11 settembre. Me ne vergogno. Ma è ancora nel mio armadio a muro.","Scott Cohen"
Generosity,"Anche il povero ha una precisa funzione nella vita sociale: permettere al ricco l'esercizio della generosità.","J.-P. Sartre"
Generosity,"la tua verità non è la mia.","H.Ibsen"
Generosity,"Vale la pena esser buoni e generosi. Non soltanto in Cielo uno si guadagna la ricompensa, ma anche qui sulla terra.","J.Steinbeck"
Ghost,"...non manca mai di mostrarsi prima della morte di un membro della famiglia. In quanto a questo, Lord Canterville, fa così anche il medico di famiglia.","O.Wilde"
Ghost,"Sei nata ieri, morirai domani, chi per sì breve vita t'ha creata?","Luis de Góngora"
Ghost,"Senti, spiriti, spettri e fantasmi ci posso credere... ma credere al Babau è un po' difficile.","""Acchiappafantasmi"" (film)"
Ghoul,"No figliolo, mai! Il sangue resta sulla lama. Un giorno capirai.","""Gangs of New York"" (film)"
Ghoul,"Specie di Vampiro arabo e turchesco, maschio o femmina; si sposta con facilità fra cielo e terra e ama frequentare i cimiteri.","J. C. de Flancy"
Gift,"La gente ricca riceve molti più regali di quella povera; e quello che deve proprio comprare, lo ha sempre molto più a buon prezzo.","H.Böll"
Gift,"Perciò mi sembra che si debba coltivare l'arte del regalare anche alle cose belle che ci sono vicine e abituali, l'amore e la venerazione che riserviamo a quelle lontane e remote.","H.Hesse"
Gift,"Tutto ciò che non viene donato va perduto.","D.Lapiere"
Glass,"Il vetro rovente ha esattamente lo stesso aspetto del vetro freddo.","Arthur Bloch"
Glass,"Un tempo, al primo sbocciare della giovinezza, un ragazzo mi donò un fiore di vetro, come pegno del suo amore.","G.Martin"
Glue,"Quando vendi un libro a un uomo non gli vendi tre etti di carta e inchiostro e colla; gli vendi una nuova vita.","Christopher Morley"
Gluttony,"In realtà nessun essere umano indifferente al cibo è degno di fiducia.","M. V. Montalbán"
Gluttony,"La gola, è stato scritto, ha un'altra peculiarità: è il solo vizio che aumenta con l'età, mentre tutti gli altri tendono a diminuire.","C.Marchi"
Gluttony,"Non essere tra quelli che s'inebriano di vino né tra coloro che sono ghiotti di carne.","Antico Testamento"
Gluttony,"Poiché il cibo, sicuramente, previene la decadenza; il cibo è degno di venerazione, così dicono.","Maitri Upanisad"
Goblin,"La distruzione che porta è niente in confronto al caos che regna nella sua mente.","Goblin Psicopatico (MthG)"
Goblin,"Nella lingua dei goblin non esiste nessuna parola per dire ""strategia"". A dire la verità, nella lingua dei goblin non c'è neppure una parola per dire ""parola"".","Assalitore Goblin (MthG)"
Goblin,"Per un goblin non serve farsi avanti per diventare eroi; sono tutti gli altri a indietreggiare!","Biggum Flodrot, goblin veterano (MthG)"
Gold,"Chi pesca con l'amo d'oro, qualcosa piglia sempre.","Proverbio italiano"
Gold,"L'oro è un metallo prezioso, in quanto fa sorridere di felicità.","Alfredo Panzini"
Gold,"Quando l'oro parla, l'eloquenza è senza forza.","Erasmo da Rotterdam"
Gold present,"Chi pesca con l'amo d'oro, qualcosa piglia sempre.","Proverbio italiano"
Gold present,"L'oro è un metallo prezioso, in quanto fa sorridere di felicità.","Alfredo Panzini"
Gold present,"Quando l'oro parla, l'eloquenza è senza forza.","Erasmo da Rotterdam"
Gold_lost,"Quello è oro che vale oro.","George Herbert"
Golem,"E tutto quel che vidi, mi parve ubbidire a una cifra.","A.Artaud"
Golem,"Vi è nella Cabala una musica dei Numeri.","A.Artaud"
GPS,"Se hai il GPS sul tuo cellulare, e molti cellulari ora lo hanno, il pronto intervento può sapere da dove chiami.","Bob Jones"
Grass,"Alla fine, l'uso più stupido che se ne può fare, è fumarla.","Beppe Grilla"
Grass,"La verità germoglierà dalla terra.","Salmi 85:12"
Grass,"L'erba del vicino è sempre più verde.","Proverbio"
Grass,"Oggi l'erba-voglio cresce rigogliosa nel portafoglio pieno.","Marcello Marchesi"
Greed,"All'avaro manca tanto quello che ha quanto quello che non ha.","Publio Sirio"
Greed,"All'avaro manca tanto quello che ha quanto quello che non ha.","Publio Siro"
Greed,"E quando Alessandro vide la grandezza del suo impero pianse, perchè non c'era più nulla da conquistare.","""Die Hard"" (film)"
Greed,"Io sono un tipo dai gusti semplici. Mi piacciono la dinamite, la polvere da sparo, e la benzina! E sai qual è la cosa che hanno in comune? Costano poco.","Joker"
Greed,"L'avarizia è la forma più sensuale di castità.","Ennio Flaiano"
Guitar present,"Ci sono corde nel cuore umano che sarebbe meglio non fare vibrare.","Charles Dickens"
Guitar present,"I musicisti non solo compongono, ma pensano: a me interessa il pensiero che sta dietro la musica.","M.Perahia"
Gunpowder,"A cosa vi serve una rivoltella?\nPer imparare ad avere fiducia negli uomini.","Paulo Coelho"
Gunpowder,"Come al tempo delle lance e delle spade, così anche oggi, nell'era dei missili, a uccidere, prima delle armi, è il cuore dell'uomo.","Papa Giovanni Paolo II"
Gunpowder,"Le armi sono come i soldi; nessuno ne ha mai abbastanza.","Martin Amis"
Gunpowder,"Riponi la tua fiducia in Dio, e tieni asciutta la tua polvere da sparo.","Oliver Cromwell"
Gunpowder,"Vi sono invenzioni che provocano cambiamenti lievi, in genere in meglio, a volte in peggio.","John Condry"
Hacker,"Ma per gli hacker un computer significa anche intrattenimento. Non i giochi, non le belle immagini sulla Rete. Il computer in sé è intrattenimento.","Linus Torvalds"
Hacker,"Per gli hacker la parola passione descrive il tono generale della loro attività, anche se il suo soddisfacimento potrebbe non essere un gioco divertente in tutti i suoi aspetti.","Pekka Himanen"
Hacker,"Un mondo senza gli hacker sarebbe un mondo senza curiosità e innovazione.","Jon Erickson"
Half-elf,"Io non sono un mezzosangue, non sono un caffelatte.","Y.Noah"
Half-elf,"Pensi che gli umani accetterebbero un mezzosangue come te?","Blade (film)"
Hammer,"Chi non vuol lavorare neppure mangi.","Paolo di Tarso"
Hammer,"Non c'è niente di più funesto sulla faccia della terra del pensatore che non sa piantare un chiodo.","Émile-Auguste Chartier"
Hammer_lost,"Se al primo colpo non hai successo, prendi un martello più grande","Alan Lewis"
Hangover,"Riempi il tuo cranio di vino, prima che si riempia di terra.","Nazim Hikmet"
Hangover,"Se si vuole la semplicità a tutti i costi, basta scolarsi una bottiglia di rosso.","Paolo Virno"
Hawk,"Il colombo che rimane in colombaia è al sicuro dal falco.","Proverbio italiano"
Healing,"Per il sangue che hai perso, il vino pareggia.","Erri De Luca"
Healing,"Quello che Freud è per la psicanalisi, io lo sono per il vino.","Sam Aaron"
Helicopter,"""Hai abbattuto un elicottero con una macchina!""\n""Avevo finito le pallottole.""","Die Hard"
Helicopter,"La vertigine non è paura di cadere, ma voglia di volare.","Jovanotti"
Heresy,"La fiducia è bene, il controllo è meglio.","Lenin"
Heresy,"L'eresia di un'era diventa l'ortodossia dell'era seguente.","Helen Keller"
Heresy,"Ogni eresia è l'esagerazione mostruosa di un aspetto della verità.","M.Eliade"
Heresy,"Prendi la tua bibbia e ficcatela nel primo buco che trovi!","""Fiori d' acciaio"" (film)"
Heresy,"Una religione è dannata e confessa la sua estrema impotenza il giorno in cui brucia il primo eretico.","Ezra Pound"
Hero,"...a lui Federico, che ha il nome sfavillante e guida la gloria, servono la terra, il mare e la volta del cielo.","Giorgio di Gallipoli"
Hero,"Anche i piccoli libri hanno il loro destino.","T.Mauro"
Hero,"O muori da eroe o vivi tanto a lungo da diventare il cattivo.","Harvey Dent"
Hidden treasure,"Quindici uomini sulla cassa del morto, yu-uh! E una bottiglia di rum!","Robert Louis Stevenson"
Hope,"Che è la vita senza speranza? Una gittata di dadi fra le tenebre, fra i deliri.","Ambrogio Bazzero"
Hope,"Il peccato contro la speranza: il più mortale di tutti, e forse quello accolto meglio, il più carezzato.","Georges Bernanos"
Horus,"Horus è il dio del cielo e dell’autorità regale. Il faraone dell’antico Egitto era considerato come l’incarnazione del dio Horus.",""
House,"Casa è solo dove vai quando non hai altro posto dove andare.","Bette Davis"
House,"Ho un bel po' di compagnia in casa, specialmente di mattina, quando nessuno viene in visita.","Henry David Thoreau"
House,"La casa è dove si trova il cuore.","Gaio Plinio Secondo"
House,"La casa è quel posto dove, quando ci andate, vi accolgono sempre.","David Frost"
House,"Un uomo percorre il mondo intero in cerca di ciò che gli serve e torna a casa per trovarlo.","George Moore"
Human,"Ci sono uomini che vivono di certezze e non hanno mai dubbi: quelli non vivono, esistono.","Romano Battaglia"
Human,"Ciarpame, ciarpame sono le opere dell'uomo.","Theodor Fontane"
Human,"Ciò che per gli uomini è un peccato, per il diavolo è un motivo di risa.","Maksim Gorkij"
Human,"Il potere è l'immondizia della storia degli umani.","Francesco Guccini"
Human,"Tutti gli animali, io pure, si esprimono.","Karl Popper"
Human_lost,"Ci sono uomini che vivono di certezze e non hanno mai dubbi: quelli non vivono, esistono.","Romano Battaglia"
Human_lost,"Ciarpame, ciarpame sono le opere dell'uomo.","Theodor Fontane"
Human_lost,"Ciò che per gli uomini è un peccato, per il diavolo è un motivo di risa.","Maksim Gorkij"
Humility,"La vittoria della vanità non è la modestia, tanto meno l'umiltà, è piuttosto il suo eccesso.","José Saramago"
Humility,"L'umiltà è quella virtù che, quando la si ha, si crede di non averla.","Mario Soldati"
Humility,"L'umiltà vera è una specie di auto-annullamento; e questo è il centro di tutte le virtù.","John Wesley"
Hunter,"Amicizia: il tacito accordo fra due nemici di voler collaborare per un bottino comune.","E.Hubbard"
Hunter,"Il sangue e il coraggio s'infiammano di più a risvegliar un leone, cha a dar la caccia a un timido daino.","William Shakespeare"
Hut,"L'unico vero maestro non è in nessuna foresta, in nessuna capanna, in nessuna caverna di ghiaccio dell'Himalaya... È dentro di noi!","Tiziano Terzani"
Hybrid vehicle,"Se ci saranno nuovi sviluppi per l'efficienza delle automobili, magari i veicoli ibridi non saranno la scelta migliore.","David Victor"
