3D holography,"Yo juego en un mundo de tres dimensiones, mientras que los demás se han quedado en un medio con solo dos.","Bill Gates"
Drow,"Uno de los medios más efectivos que tiene el mal es invitar a la lucha.","Franz Kafka"
Druid,"Hay un libro abierto siempre para todos los ojos: la naturaleza.","Jean Jacques Rousseau"
Druid,"La naturaleza sin la señal de la mano del hombre es más sublime.","Jaime Balmes"
Duct tape,"No tengo fe en muchas cosas, pero tengo fe en la cinta adhesiva.","Miles (Perdidos)"
Duergar,"Más allá de toda división política, cultural e histórica, el cuento proporciona a la humanidad en su conjunto una ""lengua materna"" común.","Jostein Gaarder"
Duergar,"No es bueno hablar de ciertas cosas cuando las sombras reinan en el mundo.","J.R.R.Tolkien"
Dust,"Cuida los minutos, pues las horas ya cuidarán de sí mismas.","Philip Dormer Stanhope"
Dust,"Somos polvo de estrellas que piensa acerca de las estrellas.","Carl Sagan"
DVD,"La claridad es el barniz de los maestros.","Marqués de Vauvenargues"
Dwarf,"Aunque bajo Tierra y sin trono ahora me vi\nMás, mientras viví, toda Tierra estaba debajo de mi.","C.S.Lewis"
Dwarf,"Yo no sé muchas cosas es verdad. Pero me han dormido con todos los cuentos... Y sé todos los cuentos.","León Felipe"
Earth,"¡Qué pequeña eres, brizna de hierba! Sí, pero tengo toda la tierra a mis pies.","R.Tagore"
Earth,"Buenas noticias: la tierra se recupera en un millón de años. Somos nosotros los que desaparecemos.","N. Parra"
Earth,"Buenas noticias: la tierra se recupera en un millón de años. Somos nosotros los que desaparecemos.","Nicanor Parra"
Earth,"Creemos ser país y la verdad es que somos apenas paisaje.","N. Parra"
Earth,"Creemos ser país y la verdad es que somos apenas paisaje.","Nicanor Parra"
Egg,"Ab ovo...",""
Egg,"El amor sin pecado es como el huevo sin sal.","Luis Buñuel"
Egg,"Si la piedra cae sobre el huevo, mala suerte para el huevo. Si el huevo cae sobre la piedra, mala suerte para el huevo.","Proverbio"
Egg,"Si la piedra cae sobre el huevo, mala suerte para el huevo. Si el huevo cae sobre la piedra, mala suerte para el huevo.","Proverbio húngaro"
Egyptian priest,"En el antiguo Egipto, los sacerdotes no eran solo los guardianes de los misterios sagrados, sino que también eran administradores seculares. El clero egipcio jugó un papel importante en la formación y prosperidad del estado.",""
Electricity,"La pregunta científica de hoy es: ¿Qué demonios es la electricidad ? ¿Y a dónde va cuando sale de la tostadora?","Dave Barry"
Electricity,"Siento como electricidad. Sí, como electricidad.","Billy Elliot"
Elf,"""Aquí yace Dobby, un elfo libre""","Epitafio de la tumba de Dobby, hecha por Harry Potter."
Elf,"¿Eso es un elfo? Pero si solo es...Un humano alto y delgado con una cara zorruna. Más o menos. Creía que eran hermosos.","Terry Pratchett"
Elf,"El escenario de mi cuento es esta tierra, en la que actualmente vivimos. Pero el período histórico es imaginario.","J.R.R.Tolkien"
Elf,"La vida en sí es el más maravilloso cuento de hadas.","Hans Christian Andersen"
Energy,"Dedique su tiempo y energía sólo a los temas que son el corazón de su vida.","John Maxwell"
Energy,"El amor siempre trae dificultades, es cierto, pero da energía.","Vincent Van Gogh"
Energy,"Las partículas pueden ser creadas a partir de la energía en forma de pares partícula-antipartícula.","Stephen Hawking"
Energy,"Nadie se da cuenta de que hay alguna gente que gasta excesiva energía simplemente para parecer normal.","Alber Camus"
Energy,"No hay palabras, ni los símbolos, las imágenes no son todo reales de energía pura y vibraciones.","John Fusciante"
Envy,"El virtuoso se conforma con soñar lo que el pecador realiza en la vida.","Platón"
Envy,"La envidia va tan flaca y amarilla porque muerde y no come.","Francisco de Quevedo"
Experience,"Hay hombres que parecen tener sólo una idea y es una lástima que sea equivocada.","Charles Dickens"
Experience,"La experiencia no es lo que te sucede, sino lo que haces con lo que te sucede.","Aldous Huxley"
Fabric,"Me gustaría había inventado los vaqueros. Han expresión la modestia, el sexo, la simplicidad - todo lo que espero en mi ropa.","Yves Saint Laurent"
Faith,"La fe, incluso la más profunda, nunca es completa.","Jean-Paul Sartre"
Faith,"Los hombres son crueles, pero el hombre es bueno.","R.Tagore"
Faith,"Se otorga poca fe a los que tienen poca fe.","Lao Tse"
Fast food,"Dime qué comes, y te diré quién eres.","Jean Brillat Savarin"
Fasting,"El harto no se acuerda del ayuno.","Prover"
Fasting,"La caballerosidad en amores es un ayuno siempre expuesto a quebrantarse.","Ignacio Manuel Altamirano"
Fax machine,"Nadie es más solitario que aquél que nunca ha recibido una carta.","Elías Canetti"
Feather,"Cerquense al borde, les dijo. No podemos, tenemos miedo, contestaron. Acerquense al borde, repitio. Y se acercaron. Él los empujó... y levantaron vuelo.",""
Feather,"Pies, para que los quiero si tengo alas para volar.","Frida Kahlo"
Fern,"En las hierbas nueva el sauce olvida sus raíces.","Yosa Buson"
Fern,"Un aguacero. Se agarran a las hierbas los gorriones.","Yosa Buson"
Fire,"Los libros tienen los mismos enemigos que el hombre. El fuego, el tiempo y su propio contenido.","Paul Valéry"
Fire,"Los muchachos deben abstenerse de beber vino, pues es un error añadir fuego al fuego.","Platón"
Fire,"Quien va de fuego en fuego, muere de frío.","Antonio Porchia"
Fire,"Un fuego moribundo. Pero súbitamente la cacerola se pone a hervir.","Yosa Buson"
Fire_lost,"Una gran llama sigue a\nuna pequeña chispa.","Dante Alighieri"
Firearm,"Cada vez que escucho hablar de ese gato, empiezo a sacar mi pistola.","Stephen Hawking"
Firearm,"El hombre valeroso debe ser siempre cortés y debe hacerse respetar antes que temer.","Quilón de Esparta"
Firearm,"Las armas del reino no se muestran al extranjero.","Lao Tse"
Fireball,"Las armas requieren espíritu como las letras.","Miguel De Cervantes Saavedra"
Fireball,"No podemos arrancar una página del libro de nuestra vida, pero podemos tirar todo el libro al fuego.",""
Firecracker,"Mejor ser un cohete caído que no haber resplandecido nunca.","Oscar Wilde"
First computer,"Quiere recordarle a la gente su cara. Como si mandara su retrato por fax desde el más allá. Un hombre muerto con miedo a ser olvidado.","Amélie Poulin (Amélie)"
Fish,"¿Qué sabe el pez del agua donde nada toda su vida?","A.Einstein"
Fish,"¿Qué sabe el pez del agua donde nada toda su vida?","Albert Einstein"
Fish,"El agua para los peces; para los hombres, vino a montones.","Proverbio"
Fish_lost,"Si das pescado a un hombre hambriento, le nutres una jornada. Si le enseñas a pescar, le nutrirás toda la vida.","Lao-Tsé"
Fishing rod,"Pescar es aburrido, a menos que pique un pez; en ese caso, es asqueroso.","Dave Barry"
Flash memory,"Gracias a la memoria se da en los hombres lo que se llama experiencia.","Aristóteles"
Flintstone,"Sin pasión, el hombre solo es una fuerza latente que espera una posibilidad, como el pedernal el choque del hierro, para lanzar chispas de luz.","Henri-Frédéric Amiel"
Floppy disk,"No contestas, mi disquete, ¿por qué no me imprimes nada?","Les Luthiers"
Flour,"Haz buena harina y no toques bocina.","Proverbio"
Flour,"Nadie puede amasar una fortuna sin hacer harina a los demás.","Joaquín Salvador Lavado"
Flower,"¡He perdido mi gotita de rocío!, dice la flor al cielo del amanecer, que ha perdido todas sus estrellas.","R.Tagore"
Flower,"Abriéndose paso entre la multitud, una amapola en su mano.","Kobayashi Issa"
FM radio,"La radio marca los minutos de la vida; el diario, las horas, y el libro, los días.","Jacques H. de la Lacreitelle"
Food,"El amor es tan importante como la comida. Pero no alimenta.","Márquez"
Food,"La sociedad está dividida en dos grandes clases: la de los que tienen más comida que apetito y la de los que tienen más apetito que comida.","Chamfort"
Food,"Papaya partida, papaya comida.","Proverbio colombiano"
Forest,"En el bosque siento el milagro de la vida y, tras él, nuestros logros científicos se convierten en trivialidades.","Charles Lindbergh"
Free apps,"La innovación es lo que distingue a un líder de los demás.","Steve Jobs"
Free apps,"Las manzanas robadas que comí me produjeron dolor de estómago.","Shiki Masaoka"
Freezer,"La salud es la justa medida entre el calor y el frío.","Aristóteles"
Frozen food,"¿Sabías que mezclando gasolina con concentrado congelado de naranja fabricarías napalm?","Tyler Durden (El club de la lucha)"
Fun,"Dios prefiere al hombre que elige hacer el mal, antes que al hombre que es obligado a hacer el bien.","A.Burgess"
Fun,"Estamos olvidando el verdadero significado de la navidad: El nacimiento de Santa Claus.","Los Simpson"
Game,"La única vez que fui de caza la recuerdo como una experiencia espeluznante.","Gloria Swanson"
Games,"Si quieres destruir a un hombre, enséñale a jugar al ajedrez.","Oscar Wilde"
Games,"Todo lo que quiero en la vida es jugar al ajedrez.","Bobby Fischer"
Gas mask,"La política está en el aire mismo que respiramos, igual que la presencia o ausencia de Dios.","Graham Greene"
Generosity,"Los favores rebotan.","Doménico Cieri Estrada"
Generosity,"Quien recibe agradecido da copiosas cosechas.","William Blake"
Ghost,"El valor, como las demás virtudes, tiene sus límites.","Michel de Montaigne"
Ghost,"La realidad es el soporte para el fantasma del neurótico.","Jacques Lacan"
Ghost,"La realidad tiende a desaparecer.","N. Parra"
Ghost,"La realidad tiende a desaparecer.","Nicanor Parra"
Ghoul,"El valor, como las demás virtudes, tiene sus límites.","Michel de Montaigne"
Ghoul,"La fantasía, aislada de la razón, sólo produce monstruos imposibles.","Francisco de Goya"
Ghoul,"Que tu paladar ni tu estómago te sirvan de pretexto para derramar la sangre de ningún animal ni pagar o autorizar a otro para que lo mate.","Amos Bronson Alcott"
Gift,"Tal vez el mejor adorno de Navidad es una gran sonrisa.",""
Glass,"Conocí pueblos que cabían en el vidrio de una ventana.","Luis Alfredo Arango"
Glass,"No te asomes a la ventana, que no hay nada en esta casa. Asómate a mi alma.","Miguel Hernández"
Glue,"La verdad es el pegamento que mantiene al gobierno unido.","Gerald Ford"
Gluttony,"¡Puaj! ¿Cómo has podido crecer tanto comiendo esta clase de alimento?","Yoda"
Gluttony,"El hombre es el único animal que come sin tener hambre, bebe sin tener sed y habla sin tener nada que decir.","Mark Twain"
Gluttony,"La alegría es la salsa de las cenas.","W. Shakespeare"
Gluttony,"La alegría es la salsa de las cenas.","William Shakespeare"
Gluttony,"La gula y concupiscencia, matan más que la abstinencia.","Proverbio"
Goblin,"Amar a una criatura es tener necesidad de que esta criatura viva.","Henri Barbusse"
Gold,"El consejo de un amigo es como vino generoso en copa de oro.","Solón"
Gold,"El oro se prueba con el fuego; la mujer, con el oro; y el hombre, con la mujer.","Quilón de Esparta"
Gold,"Engarza en oro las alas del pájaro y nunca más volará al cielo.","R.Tagore"
Gold present,"El consejo de un amigo es como vino generoso en copa de oro.","V for Vendetta"
Gold present,"El oro se prueba con el fuego; la mujer, con el oro; y el hombre, con la mujer.","Quilón de Esparta"
Gold_lost,"Ese oro vale su peso en oro.","George Herbert"
Golem,"Algo anormal y tosco hubo en el Golem,\nya que a su paso el gato del rabino\nse escondía. (Ese gato no está en Scholem\npero, a través del tiempo, lo adivino.)","J.L.Borges"
Golem,"El cabalista que ofició de numen\na la vasta criatura apodó Golem;\nestas verdades las refiere Scholem\nen un docto lugar de su volumen.","J.L.Borges"
GPS,"No hay hombre de nación alguna que, habiendo tomado a la naturaleza por guía, no pueda llegar a la verdad.","Marco Tulio Cicerón"
Grass,"Luchar contra nuestro destino sería un combate como el del manojo de espigas que quisiera resistirse a la hoz.","Lord Byron"
Grass,"Probé la marihuana una vez. No inhalé.","Bill Clinton"
Greed,"¿Por qué a los seres humanos contemporáneos les fascina comprar y consumir, y sin embargo sienten muy poco apego por lo que compran?",""
Greed,"Algún dinero evita preocupaciones; mucho, las atrae.","Confucio"
Greed,"Gran renta es la economía.","Cicerón"
Greed,"Los que creen que el dinero lo hace todo, suelen hacer cualquier cosa por dinero.","Voltaire"
Greed,"No hay nadie peor que el avaro consigo mismo, y ese es el justo pago de su maldad.","Eclesiastés 7:1"
Guitar present,"Tú eres alma que dice su armonía\nsolitaria a las almas pasajeras...","A.Machado"
Gunpowder,"La crueldad es uno de los placeres más antiguos de la humanidad.","Friedrich Nietzsche"
Gunpowder,"Mucha mocha, poca pólvora.","Proverbio"
Gunpowder,"Mucha mocha, poca pólvora.","Proverbio mexicano"
Gunpowder,"Recuerda, recuerda, el cinco de noviembre, el complot de la pólvora y la confabulación.","V de Vendetta"
Gunpowder,"Recuerda, recuerda, el cinco de noviembre, el complot de la pólvora y la confabulación.","V for Vendetta"
Hacker,"Arte como crimen; crimen como arte.","Anónimo"
Hacker,"Arte como crimen; crimen como arte.","Hakim Bey"
Hacker,"Conócete a ti mismo.","Oráculo de Delfos"
Hacker,"Seguro que Dios cuando creo el universo lo hizo como un hacker delante de la pantalla de su ordenador tecleando comandos.","Anónimo"
Hacker,"Seguro que Dios cuando creo el universo lo hizo como un hacker delante de la pantalla de su ordenador tecleando comandos.","Hakim Bey"
Half-elf,"la raza más insatisfecha son las elfas? (¿Por qué crees que hay tanto medio elfo?)","D&D"
Half-elf,"Un elfo que trabaja incomodo, no trabaja bien y entonces, no es un buen elfo.","Joanne Kathleen Rowling"
Hammer,"Cuando fuiste martillo no tuviste clemencia, ahora que eres yunque, ten paciencia.","Anónimo"
Hammer,"Hay quien porque golpea la pared con un martillo se cree que clava clavos.","Johann Wolfgang von Goethe"
Hammer_lost,"Si no lo consigues a la primera, hazte con un martillo más grande.","Alan Lewis"
Hangover,"El cuerpo es la cárcel del alma inmortal.","Platón"
Hangover,"Si evitas los problemas, jamás llegarás a ser el que los superó.","Richard Bach"
Hawk,"Girando y girando en el vasto girar, el halcón no puede oír al halconero. Las cosas se destruyen... ceden los cimientos.","V (V de Vendetta)"
Healing,"El amor no tiene cura, pero es la única cura para todos los males.","Leonard Cohen"
Helicopter,"La hélice es simplemente un ventilador enorme para refrescar al piloto. Cuando la hélice se para, el piloto suda.","Anónimo"
Helicopter,"Un presidente no puede decir que conoce bien lo que está pasando, porque ve los atascos de tráfico desde el helicóptero.","Adolfo Suárez"
Heresy,"En el amor siempre hay algo de locura, mas en la locura siempre hay algo de razón.","F. Nitzche"
Heresy,"La gente, por lo general, riñe porque no sabe discutir.","Gilbert K. Chesterton"
Heresy,"Lo contrario de la fe no es herejía, es la indiferencia.","Elie Wiesel"
Heresy,"Ten el valor de equivocarte.","Hegel"
Hero,"El héroe nocturno es un caballero de armadura ensangrentada.","Frank Miller"
Hero,"Los héroes pueden ser dulces.","Oriana Fallaci"
Hero,"Son los cobardes los únicos que en la refriega retroceden. El valiente, por el contrario, lucha a pie firme, ya hiera o ya sea herido.","La Ilíada de Homero"
Hidden treasure,"Juventud, divino tesoro, te vas para no volver.","Rubén Darío"
Hope,"Abandonad toda esperanza, vosotros los que entrais.","Dante"
Hope,"Casarse por segunda vez es el triunfo de la esperanza sobre la experiencia.","S. Johnson"
Horus,"Horus es el dios del cielo y la autoridad real. Se consideraba que el rey vivo de los egipcios antiguos era la encarnación del dios Horus.",""
House,"Con una naturaleza confortable, la humanidad no hubiera inventado nunca la arquitectura.","Oscar Wilde"
House,"Dios hizo el campo, y el hombre la ciudad.","William Cowper"
Human,"No fracasa en este mundo quien le haga a otro más llevadera su carga.","Charles Dickens"
Human,"Nobleza, dignidad, constancia y cierto risueño coraje. Todo lo que constituye la grandeza sigue siendo esencialmente lo mismo a través de los siglos.","Hannah Arendt"
Human,"Un hombre hace lo que puede. Una mujer hace lo que el hombre no puede.","Isabel Allende"
Human_lost,"No fracasa en este mundo quien le haga a otro más llevadera su carga.","Charles Dickens"
Human_lost,"Nobleza, dignidad, constancia y cierto risueño coraje. Todo lo que constituye la grandeza sigue siendo esencialmente lo mismo a través de los siglos.","Hannah Arendt"
Human_lost,"Un hombre hace lo que puede. Una mujer hace lo que el hombre no puede.","Isabel Allende"
Humility,"Evita el placer que provoca la tristeza.","Solón"
Humility,"La humildad exalta al hombre al cielo de la gloria y poder.","Bahá'u'lláh"
Humility,"La verdadera humildad consiste en estar satisfecho.","Henry F. Amiel"
Hunter,"Hay siempre en el alma humana una pasión por ir a la caza de algo.","Charles Dickens"
Hunter,"No es tan fiero el león como lo pintan.","Refran"
Hut,"La casa debe ser el estuche de la vida, la máquina de felicidad.","Le Corbusier"
Hut,"La mayoría de los males les vienen a los hombres por no quedarse en casa.","Blaise Pascal"
Hybrid vehicle,"El coche más bello es el que todavía nos queda por hacer.","Enzo Ferrari"
Hypertext,"Solo tuve que tomar la idea de hipertexto y conectarla con las ideas de TCP y DNS y ya está: la World Wide Web.","Tim Berners-Lee"
Ice,"Aunque seas tan casto como el hielo y tan puro como la nieve no escaparás de la calumnia.","William Shakespeare"
Ice,"El foc de l'hivern és mig aliment. (El fuego del invierno es medio alimento).","Proverbio"
Ice cream,"No es lo mismo un helado de pistacho que un tacho de pis helado.","Franco Andrada"
Illithid,"El corazón humano es un instrumento de muchas cuerdas; el perfecto conocedor de los hombres las sabe hacer vibrar todas, como un buen músico.",""
Illithid,"Hay cuerdas en el corazón humano que sería mejor no hacerlas vibrar.","Charles Dickens"
Illusion,"La diferencia entre el pasado, el presente y el futuro es sólo una ilusión persistente.","Albert Einstein"
Illusion,"No rechaces tus sueños. Sin la ilusión el mundo qué sería.","Ramón de Campoamor"
Internet,"Habrá seres humanos con minirrobots en el cerebro.","R.Kurzweil"
Internet,"Sigue al conejo blanco.","The Matrix"
Island,"Cuando descubres una isla que no pertenece a nadie, es tuya.","El Principito"
Jerky,"La carne roja no es mala. La carne verde azulada: ¡esa sí que es mala para la salud!","Tommy Smothers"
Jet engine,"El motor de la historia es la lucha de clases.","Karl Marx"
Joker present,"como varían los locos\nyo no he tiradito piedras\npero me falta muy poco","Bulerías"
Joker present,"Donde millones de hombres se arredraron, allí empieza tú a trabajar.","Charles Dickens"
Joker present,"Lo que nos hace personas normales es saber que no somos normales.","H.Murakami"
Journalist,"El periodismo consiste en buena medida en decir ""Ha muerto el señor Jones"" a gente que no sabía que existiera un tal señor Jones.","G.K.Chesterton"
Journalist,"El secreto de aburrir a la gente consiste en decirlo todo.","Voltaire"
Joy,"La alegría no es el éxtasis momentáneo, sino el resplandor que acompaña al ser.","Erich Fromm"
Joy,"Lo maravilloso de la infancia es que cualquier cosa en ella es maravillosa.","G.K.Chesterton"
Joy,"No hay deber que descuidemos tanto como el deber de ser felices.","R.L.Stevenson"
Karaoke,"Solo hay una forma de llegar al corazón y demás órganos de una mujer. Me refiero, por supuesto, ¡al karaoke!","Branigan (Futurama)"
Kevlar,"Soy un optimista, pero un optimista que lleva un impermeable.","Harold Wilson"
Key,"Mi mente es la llave que me libera.","Harry Houdini"
Key,"Que el verso sea como una llave que abra mil puertas.","Vicente Huidobro"
King,"De las Musas y del flechador Apolo descienden los aedos y citaristas que hay sobre la tierra; y de Zeus, los reyes.","Hesiodo"
King,"La democracia sólo parece adecuada para un país muy pequeño.","Voltaire"
King,"Los que dejan al rey errar a sabiendas, merecen pena como traidores.","Alfonso X el Sabio"
Knife,"Si tu boca se torna cuchillo, te cortará los labios.","Proverbio africano"
Knowledge,"¿Para qué hacer desgraciado a un hombre que es feliz en la ignorancia?",""
Knowledge,"¿Para qué hacer desgraciado a un hombre que es feliz en la ignorancia?","León Tolstói"
Knowledge,"La ignorancia es la madre de los crímenes.","H. de Balzac"
Knowledge,"La ignorancia es la madre de los crímenes.","Jeremy Taylor"
Knowledge,"Seis honrados servidores me enseñaron cuanto sé. Sus nombres son cómo, cuándo, dónde, qué, quién y por qué.","R.Kipling"
Lair,"Bajo un mismo techo durmieron las cortesanas, la luna y el trébol.","Matsuo Basho"
Lair,"El amor no se manifiesta en el deseo de acostarse con alguien, sino en el deseo de dormir junto a alguien.","Milan Kundera"
Laser,"¿Los rifles láser? ¿Sus puños? ¡Ninguno de ellos! ¡El coraje, sólo el coraje está por encima de todo!","Solar Macharius"
Laser,"¿Los rifles láser? ¿Sus puños? ¡Ninguno de ellos! ¡El coraje, sólo el coraje está por encima de todo!","Warhammer 40.000"
Laser,"Un arma noble para tiempos más civilizados (las espadas láser)","Obi-Wan"
Lava,"A un niño con quemaduras le gusta el fuego.","Oscar Wilde"
Lava,"Somos terribles animales. Creo que el sistema inmunológico de la tierra está tratando de deshacerse de nosotros, como así debe ser.","Kurt Vonnegut"
Law,"¿Cuál es nuestra inocencia? ¿Cuál es nuestra culpa? Todos estamos desnudos, nadie está a salvo.","Marianne Moore"
Leaves,"Si uno no sabe historia, no sabe nada: es como ser una hoja y no saber que forma parte del árbol.","Michael Crichton"
Liana,"Las lianas abundan en los bosques del Amazonas.",""
Lie detector,"La verdad existe. Solo se inventa la mentira.","Georges Braque"
Life,"El amor es la vida llena, igual que una copa de vino.","R.Tagore"
Life,"El nacimiento no es un acto, es un proceso.","Erich Fromm"
Life,"El zapato que le ajusta a un hombre le aprieta a otro; no hay receta para la vida que funcione en todos los casos.","Carl Gustav Jung"
Life,"Gris es toda teoría, mi caro amigo, y verde el áureo árbol de la vida.",""
Life,"Gris es toda teoría, mi caro amigo, y verde el áureo árbol de la vida.","Goethe"
Light,"Después del crepúsculo, los gusanos de luz piensan: ¡nosotros hemos iluminado el mundo!","Proverbio sanscrito"
Light,"Después del crepúsculo, los gusanos de luz piensan: ¡nosotros hemos iluminado el mundo!","Proverbio sánscrito"
Light,"En las adversidades sale a la luz la virtud.","Aristofanes"
Light,"Luz os es dada para bien y para malicia.","Dante"
Light,"Mientras más brillante la luz, mayor el gasto.","Roberto Fontanarrosa"
Lightbulb,"Qué pequeña es la luz de los faros de quien sueña con la libertad.","Joaquín Sabina"
Lightbulb,"Un piloto es como una bombilla. Cuando se funde, se cambia.","Enzo Ferrari"
Limestone,"¡Ah! ¡Construir, construir! Ésta es la más noble de todas las artes.","Henry Longfellow"
Limestone,"A mí siempre me gustó el desierto.","A. de Saint-Exupéry"
Liquid paper,"Conviene matar el error, pero salvar a los que van errados.","San Agustín"
Livestock,"El burgués representa el perfecto animal humano domesticado.","Aldous Huxley"
Livestock,"El gato es el único animal que ha conseguido domesticar al hombre.","Marsel Mauss"
Lizard,"En Febrero, sale la lagartija del agujero.","Proverbio"
Locomotive,"Tendremos que multiplicar los camiones, los vagones y las locomotoras.","Antonio Frondizi"
Locomotive,"Una pulga no puede picar a una locomotora, pero puede llenar de ronchas al maquinista.","Joaquín Salvador Lavado"
Love,"El amor es tan fuerte como la muerte, la insistencia en la devoción exclusiva es tan inexorable como el Seol.","Cantar de los Cantares"
Love,"Sé que he existido, porque he sentido; y puesto que el sentir me da este conocimiento, sé también que ya no existirá cuando haya dejado de sentir.","8:01"
Love,"Un corazón es una riqueza que no se vende ni se compra, pero que se regala.","G.Flaubert"
Lust,"El sexo es lo mas divertido que se puede hacer sin reír.","Woody Allen"
Lust,"La conocí antes de que fuera virgen.","Woody Allen"
Lust,"No se puede tener una civilización permanente sin una buena dosis de amables vicios.","Aldous Huxley"
Lust,"Una de las supersticiones del ser humano es creer que la virginidad es una virtud.","François Marie Arouet, Voltaire."
Lust,"Una de las supersticiones del ser humano es creer que la virginidad es una virtud.","Voltaire"
Mace,"Podríamos convertir a nuestros enemigos en polvos de talco con una maza, pero eso ya lo hicimos.","Buffy Vampire Slayer"
Mace,"Si eres yunque, aguanta como yunque; si eres maza, hiere como maza.","Proverbio"
Magic,"Cualquier tecnología suficientemente avanzada es indistinguible de la magia.","Arthur C. Clarke"
Magic,"Cualquier tecnología suficientemente avanzada es indistinguible de la magia.","G.Casanova"
Magic,"En la audacia hay un genio, fuerza y magia.","Goethe"
Magic,"En la audacia hay un genio, fuerza y magia.","J.W.Goethe"
Magic,"Existe al menos un rincón del universo que con toda seguridad puedes mejorar, y eres tú mismo.","A.Huxley"
Man,"Al nacer, lloramos porque entramos en este vasto manicomio.","W. Shakespeare"
Man,"El hombre se distingue de todas las demás criaturas por la facultad de reír.","Joseph Addison"
Man,"El oro se prueba por medio del fuego, la mujer por el oro, y el hombre por la mujer.","Quilón de Esparta"
Manure,"El dinero es el estiércol del diablo.","G.Papini"
Map,"Abur, he hallado un mapa de tesoros enterrados y, aunque volvamos a casa con las manos vacías, tendremos nuestras historias de cicatrices de guerra, barcos pirata y corazones heridos.","Kris Roe"
Maze,"¿Lo creerás, Ariadna? - dijo Teseo. - El Minotauro apenas se defendió.","J.L.Borges"
Maze,"A los que corren en un laberinto, su misma velocidad los confunde.","Séneca"
Maze,"La vida es un laberinto. Pero los iluminados conocen la salida.","Jose Narosky"
Meat,"La civilización termina donde comienza la carne asada.","José Vasconcelos"
Meat,"La mujer musa es la de carne y hueso.","Rubén Darío"
Meat,"No comer carne es una decisión; comer carne es instinto.","Denis Leary"
Meat,"Sólo una cosa es clara: que la carne se llena de gusanos.","Nicanor Parra"
Mechanism,"A ningún hombre debe obligársele a hacer el trabajo que puede hacer una máquina.","Henry Ford"
Mechanism,"Las que conducen y arrastran al mundo no son las máquinas, sino las ideas.","Victor Hugo"
Medicine,"Que el alimento sea tu medicina y tu mejor medicina sea tu alimento.","Hipócrates de Cos"
Medicine,"Soy tan malo que hago enfermar a la medicina.","Muhammad Ali"
Memory card,"Una cabeza sin memoria es como una fortaleza sin guarnición.","Napoleón I"
Merchants,"El arte del comerciante consiste en llevar una cosa desde el sitio donde abunda al lugar donde se paga cara.","Sir Laurence Olivier"
Metal,"El punk es heavy metal mal tocado.","S. Harris"
Metal,"El punk es heavy metal mal tocado.","Steve Harris"
Metal,"si lo haces por dinero\npor dinero no lo hagas\nllévame a la herrería\ny échame un hierro a la cara","Soleares"
Microchip,"Data, no dudo que sea fascinante, pero por ahora será mejor que desconecte su chip emocional.","Picard (Star Trek)"
Microprocessor,"Los microprocesadores se están metiendo en todo. En un futuro cercano no habrá ningún accesorio (salvo una escoba, quizás) que no tenga un procesador dentro.","Arthur C. Clarke"
Microwave oven,"La televisión es a la cultura lo que el microondas a la gastronomía.","Jaume Perich"
Milk,"El queso es la leche salto en el camino de la inmortalidad.","Clifton Fadiman"
Milk,"Tienen ternero de leche? Pues exprímalo y tráigame la leche en un vaso.","Una noche en la ópera"
Missile,"La derrota en la guerra no es el mayor de los males, salvo cuando la inflige un enemigo indigno.","Esquines"
Missile,"Tenemos misiles tácticos inteligentes, armas de plasma, rifles de pulsos, RPG…","Hudson (Aliens)"
Mithril,"¡Muerde mi brillante trasero metálico!","Bender"
Mithril,"Mithril significa ‘brillo gris’ en sindarin.","Wiki"
Modesty,"El pudor es un sólido que sólo se disuelve en alcohol o en dinero.","Enrique Jardiel Poncela"
Modesty,"Pudor, máscara del orgullo.","William Blake"
Modron,"Dondequiera que haya un número está la belleza.","Proclo"
Modron,"El acto de desobediencia como acto de libertad es el comienzo de la razón.","Erich Fromm"
Modular space station,"Un día crees que lo tienes todo, y al siguiente haces volar por los aires una estación espacial, y ya no tienes nada... Eso da que pensar…","Zapp (Futurama)"
Molotov cocktail,"Más vale ser un liberal fanático que un terrorista disimulado.","Federico Jiménez Losantos"
Molotov cocktail,"No olvidemos nunca que el terrorismo es, en su naturaleza maligna, una guerra psicológica.","Norm Coleman"
Money,"Compra tierra. Han dejado de producirla.","Mark Twain"
Money,"El precio que tenemos que pagar por el dinero se paga en libertad.","R.L.Stevenson"
Money,"Hay tres amigos fieles: una esposa anciana, un perro viejo y dinero contante y sonante.","Benjamin Franklin"
Money,"No —respondió Zarathustra—, yo no doy limosna. No soy lo bastante pobre como para dar limosna.",""
Monopoly,"Y, estas aquí, con la tarjeta del Monopoly que te saca de la cárcel, ya es casi medianoche; la vida no puede ser tan cruel para que no nos permita estar juntos... y comer.","Elizabethtown"
Moon lander,"La ignorancia es la noche de la mente: pero una noche sin luna y sin estrellas.","Confucio"
Moss,"La botánica no es una ciencia; es el arte de desecar plantas entre hojas de papel secante y de insultarlas en griego y en latín.","Jean Baptiste Alphonse Karr"
Moss,"Lo que de raíz se aprende, nunca del todo se olvida.","Séneca"
Mountain,"Las montañas son magníficas pero la modestia del campo nos alimenta.","Valeriu Butulescu"
MP3 player,"Y en el bolsillo de su chaqueta llevaba el reproductor de MP3 que Edward le había regalado, una cosa diminuta capaz de albergar cinco mil canciones, lleno con las favoritas de Edward.","Bella (Amanecer)"
